"Town","Birth.Weight","Gestational.Age","Mother.s.Age","Mother.s.Race.Ethnicity","Earliest.Data.Available"
"Andover","All","Gestational age unknown","All","White",NA
"Andover","All","Gestational age unknown","All","White non-Hispanic",NA
"Andover","All","Gestational age unknown","Unknown","All",NA
"Andover","All","Less than 37 weeks","0 to 14 years","All",NA
"Andover","All","Less than 37 weeks","15 to 19 years","All",NA
"Andover","All","Less than 37 weeks","20 to 24 years","All",NA
"Andover","All","Less than 37 weeks","25 to 29 years","All","2014"
"Andover","All","Less than 37 weeks","30 to 34 years","All","2010-2014"
"Andover","All","Less than 37 weeks","35 to 39 years","All","2012-2014"
"Andover","All","Less than 37 weeks","40 to 44 years","All",NA
"Andover","All","Less than 37 weeks","45 years and older","All",NA
"Andover","All","Less than 37 weeks","All","All","2014"
"Andover","All","Less than 37 weeks","All","Black",NA
"Andover","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Andover","All","Less than 37 weeks","All","Hispanic",NA
"Andover","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Andover","All","Less than 37 weeks","All","Other","2010-2014"
"Andover","All","Less than 37 weeks","All","Other non-Hispanic","2010-2014"
"Andover","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Andover","All","Less than 37 weeks","All","Unknown Race",NA
"Andover","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Andover","All","Less than 37 weeks","All","White","2014"
"Andover","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Andover","All","Less than 37 weeks","Unknown","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2012-2014"
"Andover","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Hispanic",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Other","2010-2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic","2010-2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Andover","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Andover","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Other","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic","2010-2014"
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","White",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic",NA
"Andover","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ansonia","All","37 weeks or more","0 to 14 years","All",NA
"Ansonia","All","37 weeks or more","15 to 19 years","All","2014"
"Ansonia","All","37 weeks or more","20 to 24 years","All","2014"
"Ansonia","All","37 weeks or more","25 to 29 years","All","2014"
"Ansonia","All","37 weeks or more","30 to 34 years","All","2014"
"Ansonia","All","37 weeks or more","35 to 39 years","All","2014"
"Ansonia","All","37 weeks or more","40 to 44 years","All","2014"
"Ansonia","All","37 weeks or more","45 years and older","All","2012-2014"
"Ansonia","All","37 weeks or more","All","All","2014"
"Ansonia","All","37 weeks or more","All","Black","2014"
"Ansonia","All","37 weeks or more","All","Black non-Hispanic","2014"
"Ansonia","All","37 weeks or more","All","Hispanic","2014"
"Ansonia","All","37 weeks or more","All","Non-Hispanic","2014"
"Ansonia","All","37 weeks or more","All","Other","2014"
"Ansonia","All","37 weeks or more","All","Other non-Hispanic","2014"
"Ansonia","All","37 weeks or more","All","Unknown Ethnicity","2010-2014"
"Ansonia","All","37 weeks or more","All","Unknown Race","2014"
"Ansonia","All","37 weeks or more","All","Unknown Race/Ethnicity","2010-2014"
"Ansonia","All","37 weeks or more","All","White","2014"
"Ansonia","All","37 weeks or more","All","White non-Hispanic","2014"
"Ansonia","All","37 weeks or more","Unknown","All",NA
"Ansonia","All","All","0 to 14 years","All",NA
"Ansonia","All","All","15 to 19 years","All","2014"
"Ansonia","All","All","20 to 24 years","All","2014"
"Ansonia","All","All","25 to 29 years","All","2014"
"Ansonia","All","All","30 to 34 years","All","2014"
"Ansonia","All","All","35 to 39 years","All","2014"
"Ansonia","All","All","40 to 44 years","All","2014"
"Ansonia","All","All","45 years and older","All","2012-2014"
"Ansonia","All","All","All","All","2014"
"Ansonia","All","All","All","Black","2014"
"Ansonia","All","All","All","Black non-Hispanic","2014"
"Ansonia","All","All","All","Hispanic","2014"
"Ansonia","All","All","All","Non-Hispanic","2014"
"Ansonia","All","All","All","Other","2014"
"Ansonia","All","All","All","Other non-Hispanic","2014"
"Ansonia","All","All","All","Unknown Ethnicity","2010-2014"
"Ansonia","All","All","All","Unknown Race","2014"
"Ansonia","All","All","All","Unknown Race/Ethnicity","2010-2014"
"Ansonia","All","All","All","White","2014"
"Ansonia","All","All","All","White non-Hispanic","2014"
"Ansonia","All","All","Unknown","All",NA
"Ansonia","All","Gestational age unknown","0 to 14 years","All",NA
"Ansonia","All","Gestational age unknown","15 to 19 years","All",NA
"Ansonia","All","Gestational age unknown","20 to 24 years","All",NA
"Ansonia","All","Gestational age unknown","25 to 29 years","All","2012-2014"
"Ansonia","All","Gestational age unknown","30 to 34 years","All","2010-2014"
"Ansonia","All","Gestational age unknown","35 to 39 years","All",NA
"Ansonia","All","Gestational age unknown","40 to 44 years","All",NA
"Ansonia","All","Gestational age unknown","45 years and older","All",NA
"Ansonia","All","Gestational age unknown","All","All","2012-2014"
"Ansonia","All","Gestational age unknown","All","Black",NA
"Ansonia","All","Gestational age unknown","All","Black non-Hispanic",NA
"Ansonia","All","Gestational age unknown","All","Hispanic","2010-2014"
"Ansonia","All","Gestational age unknown","All","Non-Hispanic","2012-2014"
"Ansonia","All","Gestational age unknown","All","Other",NA
"Ansonia","All","Gestational age unknown","All","Other non-Hispanic",NA
"Ansonia","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Ansonia","All","Gestational age unknown","All","Unknown Race",NA
"Ansonia","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Ansonia","All","Gestational age unknown","All","White","2012-2014"
"Ansonia","All","Gestational age unknown","All","White non-Hispanic","2012-2014"
"Ansonia","All","Gestational age unknown","Unknown","All",NA
"Ansonia","All","Less than 37 weeks","0 to 14 years","All",NA
"Ansonia","All","Less than 37 weeks","15 to 19 years","All","2014"
"Ansonia","All","Less than 37 weeks","20 to 24 years","All","2014"
"Ansonia","All","Less than 37 weeks","25 to 29 years","All","2014"
"Ansonia","All","Less than 37 weeks","30 to 34 years","All","2014"
"Ansonia","All","Less than 37 weeks","35 to 39 years","All","2014"
"Ansonia","All","Less than 37 weeks","40 to 44 years","All","2014"
"Ansonia","All","Less than 37 weeks","45 years and older","All",NA
"Ansonia","All","Less than 37 weeks","All","All","2014"
"Ansonia","All","Less than 37 weeks","All","Black","2014"
"Ansonia","All","Less than 37 weeks","All","Black non-Hispanic","2014"
"Ansonia","All","Less than 37 weeks","All","Hispanic","2014"
"Ansonia","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Ansonia","All","Less than 37 weeks","All","Other","2014"
"Ansonia","All","Less than 37 weeks","All","Other non-Hispanic","2014"
"Ansonia","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Ansonia","All","Less than 37 weeks","All","Unknown Race",NA
"Ansonia","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Ansonia","All","Less than 37 weeks","All","White","2014"
"Ansonia","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Ansonia","All","Less than 37 weeks","Unknown","All",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","45 years and older","All","2012-2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Black","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Hispanic","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Other","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Ansonia","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All","2012-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All","2012-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All","2010-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Black","2012-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic","2012-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic","2012-2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Other","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","White","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2014"
"Ansonia","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ashford","All","37 weeks or more","0 to 14 years","All",NA
"Ashford","All","37 weeks or more","15 to 19 years","All","2014"
"Ashford","All","37 weeks or more","20 to 24 years","All","2014"
"Ashford","All","37 weeks or more","25 to 29 years","All","2014"
"Ashford","All","37 weeks or more","30 to 34 years","All","2014"
"Ashford","All","37 weeks or more","35 to 39 years","All","2014"
"Ashford","All","37 weeks or more","40 to 44 years","All","2014"
"Ashford","All","37 weeks or more","45 years and older","All",NA
"Ashford","All","37 weeks or more","All","All","2014"
"Ashford","All","37 weeks or more","All","Black","2012-2014"
"Ashford","All","37 weeks or more","All","Black non-Hispanic","2012-2014"
"Ashford","All","37 weeks or more","All","Hispanic","2014"
"Ashford","All","37 weeks or more","All","Non-Hispanic","2014"
"Ashford","All","37 weeks or more","All","Other","2014"
"Ashford","All","37 weeks or more","All","Other non-Hispanic","2014"
"Ashford","All","37 weeks or more","All","Unknown Ethnicity",NA
"Ashford","All","37 weeks or more","All","Unknown Race","2014"
"Ashford","All","37 weeks or more","All","Unknown Race/Ethnicity","2014"
"Ashford","All","37 weeks or more","All","White","2014"
"Ashford","All","37 weeks or more","All","White non-Hispanic","2014"
"Ashford","All","37 weeks or more","Unknown","All",NA
"Ashford","All","All","0 to 14 years","All",NA
"Ashford","All","All","15 to 19 years","All","2014"
"Ashford","All","All","20 to 24 years","All","2014"
"Ashford","All","All","25 to 29 years","All","2014"
"Ashford","All","All","30 to 34 years","All","2014"
"Ashford","All","All","35 to 39 years","All","2014"
"Ashford","All","All","40 to 44 years","All","2014"
"Ashford","All","All","45 years and older","All",NA
"Ashford","All","All","All","All","2014"
"Ashford","All","All","All","Black","2012-2014"
"Ashford","All","All","All","Black non-Hispanic","2012-2014"
"Ashford","All","All","All","Hispanic","2014"
"Ashford","All","All","All","Non-Hispanic","2014"
"Ashford","All","All","All","Other","2014"
"Ashford","All","All","All","Other non-Hispanic","2014"
"Ashford","All","All","All","Unknown Ethnicity",NA
"Ashford","All","All","All","Unknown Race","2014"
"Ashford","All","All","All","Unknown Race/Ethnicity","2014"
"Ashford","All","All","All","White","2014"
"Ashford","All","All","All","White non-Hispanic","2014"
"Ashford","All","All","Unknown","All",NA
"Ashford","All","Gestational age unknown","0 to 14 years","All",NA
"Ashford","All","Gestational age unknown","15 to 19 years","All",NA
"Ashford","All","Gestational age unknown","20 to 24 years","All",NA
"Ashford","All","Gestational age unknown","25 to 29 years","All","2012-2014"
"Ashford","All","Gestational age unknown","30 to 34 years","All",NA
"Ashford","All","Gestational age unknown","35 to 39 years","All","2010-2014"
"Ashford","All","Gestational age unknown","40 to 44 years","All",NA
"Ashford","All","Gestational age unknown","45 years and older","All",NA
"Ashford","All","Gestational age unknown","All","All","2012-2014"
"Ashford","All","Gestational age unknown","All","Black",NA
"Ashford","All","Gestational age unknown","All","Black non-Hispanic",NA
"Ashford","All","Gestational age unknown","All","Hispanic","2010-2014"
"Ashford","All","Gestational age unknown","All","Non-Hispanic","2012-2014"
"Ashford","All","Gestational age unknown","All","Other",NA
"Ashford","All","Gestational age unknown","All","Other non-Hispanic",NA
"Ashford","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Ashford","All","Gestational age unknown","All","Unknown Race","2010-2014"
"Ashford","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Ashford","All","Gestational age unknown","All","White","2012-2014"
"Ashford","All","Gestational age unknown","All","White non-Hispanic","2012-2014"
"Ashford","All","Gestational age unknown","Unknown","All",NA
"Ashford","All","Less than 37 weeks","0 to 14 years","All",NA
"Ashford","All","Less than 37 weeks","15 to 19 years","All","2012-2014"
"Ashford","All","Less than 37 weeks","20 to 24 years","All","2014"
"Ashford","All","Less than 37 weeks","25 to 29 years","All","2014"
"Ashford","All","Less than 37 weeks","30 to 34 years","All","2012-2014"
"Ashford","All","Less than 37 weeks","35 to 39 years","All","2014"
"Ashford","All","Less than 37 weeks","40 to 44 years","All","2014"
"Ashford","All","Less than 37 weeks","45 years and older","All",NA
"Ashford","All","Less than 37 weeks","All","All","2014"
"Ashford","All","Less than 37 weeks","All","Black",NA
"Ashford","All","Less than 37 weeks","All","Black non-Hispanic",NA
"Ashford","All","Less than 37 weeks","All","Hispanic","2014"
"Ashford","All","Less than 37 weeks","All","Non-Hispanic","2014"
"Ashford","All","Less than 37 weeks","All","Other","2012-2014"
"Ashford","All","Less than 37 weeks","All","Other non-Hispanic","2012-2014"
"Ashford","All","Less than 37 weeks","All","Unknown Ethnicity",NA
"Ashford","All","Less than 37 weeks","All","Unknown Race",NA
"Ashford","All","Less than 37 weeks","All","Unknown Race/Ethnicity",NA
"Ashford","All","Less than 37 weeks","All","White","2014"
"Ashford","All","Less than 37 weeks","All","White non-Hispanic","2014"
"Ashford","All","Less than 37 weeks","Unknown","All",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","0 to 14 years","All",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","15 to 19 years","All",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","20 to 24 years","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","25 to 29 years","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","30 to 34 years","All","2012-2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","35 to 39 years","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","40 to 44 years","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","45 years and older","All",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Black",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Black non-Hispanic",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Hispanic","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Non-Hispanic","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Other",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Other non-Hispanic",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Unknown Ethnicity",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Unknown Race",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Unknown Race/Ethnicity",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","White","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","White non-Hispanic","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","0 to 14 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","15 to 19 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","20 to 24 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","25 to 29 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","30 to 34 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","35 to 39 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","40 to 44 years","All","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","45 years and older","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Black",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Black non-Hispanic",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Hispanic",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Non-Hispanic","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Other",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Other non-Hispanic",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Ethnicity",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown Race/Ethnicity",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","White","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","White non-Hispanic","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Avon","All","37 weeks or more","0 to 14 years","All",NA
"Avon","All","37 weeks or more","15 to 19 years","All","2014"
"Avon","All","37 weeks or more","20 to 24 years","All","2014"
"Avon","All","37 weeks or more","25 to 29 years","All","2014"
"Avon","All","37 weeks or more","30 to 34 years","All","2014"
"Avon","All","37 weeks or more","35 to 39 years","All","2014"
"Avon","All","37 weeks or more","40 to 44 years","All","2014"
"Avon","All","37 weeks or more","45 years and older","All","2012-2014"
"Avon","All","37 weeks or more","All","All","2014"
"Avon","All","37 weeks or more","All","Black","2014"
"Avon","All","37 weeks or more","All","Black non-Hispanic","2014"
"Avon","All","37 weeks or more","All","Hispanic","2014"
"Avon","All","37 weeks or more","All","Non-Hispanic","2014"
"Avon","All","37 weeks or more","All","Other","2014"
"Avon","All","37 weeks or more","All","Other non-Hispanic","2014"
"Avon","All","37 weeks or more","All","Unknown Ethnicity","2014"
"Avon","All","37 weeks or more","All","Unknown Race","2012-2014"
"Avon","All","37 weeks or more","All","Unknown Race/Ethnicity","2014"
"Avon","All","37 weeks or more","All","White","2014"
"Avon","All","37 weeks or more","All","White non-Hispanic","2014"
"Avon","All","37 weeks or more","Unknown","All",NA
"Avon","All","All","0 to 14 years","All",NA
"Avon","All","All","15 to 19 years","All","2014"
"Avon","All","All","20 to 24 years","All","2014"
"Avon","All","All","25 to 29 years","All","2014"
"Avon","All","All","30 to 34 years","All","2014"
"Avon","All","All","35 to 39 years","All","2014"
"Avon","All","All","40 to 44 years","All","2014"
"Avon","All","All","45 years and older","All","2012-2014"
"Avon","All","All","All","All","2014"
"Avon","All","All","All","Black","2014"
"Avon","All","All","All","Black non-Hispanic","2014"
"Avon","All","All","All","Hispanic","2014"
"Avon","All","All","All","Non-Hispanic","2014"
"Avon","All","All","All","Other","2014"
"Avon","All","All","All","Other non-Hispanic","2014"
"Avon","All","All","All","Unknown Ethnicity","2014"
"Avon","All","All","All","Unknown Race","2012-2014"
"Avon","All","All","All","Unknown Race/Ethnicity","2014"
"Avon","All","All","All","White","2014"
"Avon","All","All","All","White non-Hispanic","2014"
"Avon","All","All","Unknown","All",NA
"Avon","All","Gestational age unknown","0 to 14 years","All",NA
"Avon","All","Gestational age unknown","15 to 19 years","All",NA
"Avon","All","Gestational age unknown","20 to 24 years","All",NA
"Avon","All","Gestational age unknown","25 to 29 years","All",NA
"Avon","All","Gestational age unknown","30 to 34 years","All",NA
"Avon","All","Gestational age unknown","35 to 39 years","All",NA
"Avon","All","Gestational age unknown","40 to 44 years","All",NA
"Avon","All","Gestational age unknown","45 years and older","All",NA
"Avon","All","Gestational age unknown","All","All",NA
"Avon","All","Gestational age unknown","All","Black",NA
"Avon","All","Gestational age unknown","All","Black non-Hispanic",NA
"Avon","All","Gestational age unknown","All","Hispanic",NA
"Avon","All","Gestational age unknown","All","Non-Hispanic",NA
"Avon","All","Gestational age unknown","All","Other",NA
"Avon","All","Gestational age unknown","All","Other non-Hispanic",NA
"Avon","All","Gestational age unknown","All","Unknown Ethnicity",NA
"Avon","All","Gestational age unknown","All","Unknown Race",NA
"Avon","All","Gestational age unknown","All","Unknown Race/Ethnicity",NA
"Avon","All","Gestational age unknown","All","White",NA
