"Town","FIPS","Birth.Weight","Gestational.Age","Initiation.of.Prenatal.Care","Smoking.During.Pregnancy","Earliest.Data.Available"
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2010-2014"
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Andover",901301080,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ansonia",900901220,"All","37 weeks or more","All","All","2014"
"Ansonia",900901220,"All","37 weeks or more","All","No","2014"
"Ansonia",900901220,"All","37 weeks or more","All","Unknown",NA
"Ansonia",900901220,"All","37 weeks or more","All","Yes","2014"
"Ansonia",900901220,"All","37 weeks or more","First Trimester","All","2014"
"Ansonia",900901220,"All","37 weeks or more","None","All","2014"
"Ansonia",900901220,"All","37 weeks or more","Second Trimester","All","2014"
"Ansonia",900901220,"All","37 weeks or more","Third Trimester","All","2012-2014"
"Ansonia",900901220,"All","37 weeks or more","Unknown","All","2012-2014"
"Ansonia",900901220,"All","All","All","All","2014"
"Ansonia",900901220,"All","All","All","No","2014"
"Ansonia",900901220,"All","All","All","Unknown",NA
"Ansonia",900901220,"All","All","All","Yes","2014"
"Ansonia",900901220,"All","All","First Trimester","All","2014"
"Ansonia",900901220,"All","All","None","All","2014"
"Ansonia",900901220,"All","All","Second Trimester","All","2014"
"Ansonia",900901220,"All","All","Third Trimester","All","2012-2014"
"Ansonia",900901220,"All","All","Unknown","All","2014"
"Ansonia",900901220,"All","Gestational age unknown","All","All","2012-2014"
"Ansonia",900901220,"All","Gestational age unknown","All","No","2010-2014"
"Ansonia",900901220,"All","Gestational age unknown","All","Unknown",NA
"Ansonia",900901220,"All","Gestational age unknown","All","Yes","2012-2014"
"Ansonia",900901220,"All","Gestational age unknown","First Trimester","All",NA
"Ansonia",900901220,"All","Gestational age unknown","None","All","2012-2014"
"Ansonia",900901220,"All","Gestational age unknown","Second Trimester","All",NA
"Ansonia",900901220,"All","Gestational age unknown","Third Trimester","All",NA
"Ansonia",900901220,"All","Gestational age unknown","Unknown","All","2010-2014"
"Ansonia",900901220,"All","Less than 37 weeks","All","All","2014"
"Ansonia",900901220,"All","Less than 37 weeks","All","No","2014"
"Ansonia",900901220,"All","Less than 37 weeks","All","Unknown",NA
"Ansonia",900901220,"All","Less than 37 weeks","All","Yes","2014"
"Ansonia",900901220,"All","Less than 37 weeks","First Trimester","All","2014"
"Ansonia",900901220,"All","Less than 37 weeks","None","All",NA
"Ansonia",900901220,"All","Less than 37 weeks","Second Trimester","All","2014"
"Ansonia",900901220,"All","Less than 37 weeks","Third Trimester","All","2012-2014"
"Ansonia",900901220,"All","Less than 37 weeks","Unknown","All","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2012-2014"
"Ansonia",900901220,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","All","Yes","2012-2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All","2012-2014"
"Ansonia",900901220,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Ashford",901501430,"All","37 weeks or more","All","All","2014"
"Ashford",901501430,"All","37 weeks or more","All","No","2014"
"Ashford",901501430,"All","37 weeks or more","All","Unknown",NA
"Ashford",901501430,"All","37 weeks or more","All","Yes","2014"
"Ashford",901501430,"All","37 weeks or more","First Trimester","All","2014"
"Ashford",901501430,"All","37 weeks or more","None","All",NA
"Ashford",901501430,"All","37 weeks or more","Second Trimester","All","2014"
"Ashford",901501430,"All","37 weeks or more","Third Trimester","All","2014"
"Ashford",901501430,"All","37 weeks or more","Unknown","All","2012-2014"
"Ashford",901501430,"All","All","All","All","2014"
"Ashford",901501430,"All","All","All","No","2014"
"Ashford",901501430,"All","All","All","Unknown","2010-2014"
"Ashford",901501430,"All","All","All","Yes","2014"
"Ashford",901501430,"All","All","First Trimester","All","2014"
"Ashford",901501430,"All","All","None","All",NA
"Ashford",901501430,"All","All","Second Trimester","All","2014"
"Ashford",901501430,"All","All","Third Trimester","All","2014"
"Ashford",901501430,"All","All","Unknown","All","2012-2014"
"Ashford",901501430,"All","Gestational age unknown","All","All","2012-2014"
"Ashford",901501430,"All","Gestational age unknown","All","No",NA
"Ashford",901501430,"All","Gestational age unknown","All","Unknown","2010-2014"
"Ashford",901501430,"All","Gestational age unknown","All","Yes","2012-2014"
"Ashford",901501430,"All","Gestational age unknown","First Trimester","All",NA
"Ashford",901501430,"All","Gestational age unknown","None","All",NA
"Ashford",901501430,"All","Gestational age unknown","Second Trimester","All",NA
"Ashford",901501430,"All","Gestational age unknown","Third Trimester","All",NA
"Ashford",901501430,"All","Gestational age unknown","Unknown","All","2012-2014"
"Ashford",901501430,"All","Less than 37 weeks","All","All","2014"
"Ashford",901501430,"All","Less than 37 weeks","All","No","2014"
"Ashford",901501430,"All","Less than 37 weeks","All","Unknown",NA
"Ashford",901501430,"All","Less than 37 weeks","All","Yes","2010-2014"
"Ashford",901501430,"All","Less than 37 weeks","First Trimester","All","2014"
"Ashford",901501430,"All","Less than 37 weeks","None","All",NA
"Ashford",901501430,"All","Less than 37 weeks","Second Trimester","All","2014"
"Ashford",901501430,"All","Less than 37 weeks","Third Trimester","All","2010-2014"
"Ashford",901501430,"All","Less than 37 weeks","Unknown","All","2012-2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","All","Yes","2010-2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2010-2014"
"Ashford",901501430,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2012-2014"
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All",NA
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2014"
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Ashford",901501430,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Avon",900302060,"All","37 weeks or more","All","All","2014"
"Avon",900302060,"All","37 weeks or more","All","No","2014"
"Avon",900302060,"All","37 weeks or more","All","Unknown",NA
"Avon",900302060,"All","37 weeks or more","All","Yes","2012-2014"
"Avon",900302060,"All","37 weeks or more","First Trimester","All","2014"
"Avon",900302060,"All","37 weeks or more","None","All","2010-2014"
"Avon",900302060,"All","37 weeks or more","Second Trimester","All","2014"
"Avon",900302060,"All","37 weeks or more","Third Trimester","All","2014"
"Avon",900302060,"All","37 weeks or more","Unknown","All","2012-2014"
"Avon",900302060,"All","All","All","All","2014"
"Avon",900302060,"All","All","All","No","2014"
"Avon",900302060,"All","All","All","Unknown",NA
"Avon",900302060,"All","All","All","Yes","2012-2014"
"Avon",900302060,"All","All","First Trimester","All","2014"
"Avon",900302060,"All","All","None","All","2010-2014"
"Avon",900302060,"All","All","Second Trimester","All","2014"
"Avon",900302060,"All","All","Third Trimester","All","2014"
"Avon",900302060,"All","All","Unknown","All","2012-2014"
"Avon",900302060,"All","Gestational age unknown","All","All",NA
"Avon",900302060,"All","Gestational age unknown","All","No",NA
"Avon",900302060,"All","Gestational age unknown","All","Unknown",NA
"Avon",900302060,"All","Gestational age unknown","All","Yes",NA
"Avon",900302060,"All","Gestational age unknown","First Trimester","All",NA
"Avon",900302060,"All","Gestational age unknown","None","All",NA
"Avon",900302060,"All","Gestational age unknown","Second Trimester","All",NA
"Avon",900302060,"All","Gestational age unknown","Third Trimester","All",NA
"Avon",900302060,"All","Gestational age unknown","Unknown","All",NA
"Avon",900302060,"All","Less than 37 weeks","All","All","2014"
"Avon",900302060,"All","Less than 37 weeks","All","No","2014"
"Avon",900302060,"All","Less than 37 weeks","All","Unknown",NA
"Avon",900302060,"All","Less than 37 weeks","All","Yes",NA
"Avon",900302060,"All","Less than 37 weeks","First Trimester","All","2014"
"Avon",900302060,"All","Less than 37 weeks","None","All",NA
"Avon",900302060,"All","Less than 37 weeks","Second Trimester","All","2012-2014"
"Avon",900302060,"All","Less than 37 weeks","Third Trimester","All",NA
"Avon",900302060,"All","Less than 37 weeks","Unknown","All","2010-2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","All","Yes","2010-2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2012-2014"
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Avon",900302060,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2010-2014"
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Avon",900302060,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Barkhamsted",900502760,"All","37 weeks or more","All","All","2014"
"Barkhamsted",900502760,"All","37 weeks or more","All","No","2014"
"Barkhamsted",900502760,"All","37 weeks or more","All","Unknown","2014"
"Barkhamsted",900502760,"All","37 weeks or more","All","Yes","2014"
"Barkhamsted",900502760,"All","37 weeks or more","First Trimester","All","2014"
"Barkhamsted",900502760,"All","37 weeks or more","None","All",NA
"Barkhamsted",900502760,"All","37 weeks or more","Second Trimester","All","2014"
"Barkhamsted",900502760,"All","37 weeks or more","Third Trimester","All",NA
"Barkhamsted",900502760,"All","37 weeks or more","Unknown","All",NA
"Barkhamsted",900502760,"All","All","All","All","2014"
"Barkhamsted",900502760,"All","All","All","No","2014"
"Barkhamsted",900502760,"All","All","All","Unknown","2014"
"Barkhamsted",900502760,"All","All","All","Yes","2014"
"Barkhamsted",900502760,"All","All","First Trimester","All","2014"
"Barkhamsted",900502760,"All","All","None","All",NA
"Barkhamsted",900502760,"All","All","Second Trimester","All","2014"
"Barkhamsted",900502760,"All","All","Third Trimester","All","2010-2014"
"Barkhamsted",900502760,"All","All","Unknown","All","2012-2014"
"Barkhamsted",900502760,"All","Gestational age unknown","All","All","2012-2014"
"Barkhamsted",900502760,"All","Gestational age unknown","All","No","2012-2014"
"Barkhamsted",900502760,"All","Gestational age unknown","All","Unknown",NA
"Barkhamsted",900502760,"All","Gestational age unknown","All","Yes",NA
"Barkhamsted",900502760,"All","Gestational age unknown","First Trimester","All",NA
"Barkhamsted",900502760,"All","Gestational age unknown","None","All",NA
"Barkhamsted",900502760,"All","Gestational age unknown","Second Trimester","All","2012-2014"
"Barkhamsted",900502760,"All","Gestational age unknown","Third Trimester","All",NA
"Barkhamsted",900502760,"All","Gestational age unknown","Unknown","All","2012-2014"
"Barkhamsted",900502760,"All","Less than 37 weeks","All","All","2010-2014"
"Barkhamsted",900502760,"All","Less than 37 weeks","All","No","2010-2014"
"Barkhamsted",900502760,"All","Less than 37 weeks","All","Unknown",NA
"Barkhamsted",900502760,"All","Less than 37 weeks","All","Yes",NA
"Barkhamsted",900502760,"All","Less than 37 weeks","First Trimester","All","2010-2014"
"Barkhamsted",900502760,"All","Less than 37 weeks","None","All",NA
"Barkhamsted",900502760,"All","Less than 37 weeks","Second Trimester","All",NA
"Barkhamsted",900502760,"All","Less than 37 weeks","Third Trimester","All","2010-2014"
"Barkhamsted",900502760,"All","Less than 37 weeks","Unknown","All",NA
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","All","All","2010-2014"
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","All","No","2010-2014"
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","All","Yes",NA
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2010-2014"
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All",NA
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2010-2014"
"Barkhamsted",900502760,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","All","No","2010-2014"
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2010-2014"
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Barkhamsted",900502760,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Beacon Falls",900903250,"All","37 weeks or more","All","All","2014"
"Beacon Falls",900903250,"All","37 weeks or more","All","No","2014"
"Beacon Falls",900903250,"All","37 weeks or more","All","Unknown",NA
"Beacon Falls",900903250,"All","37 weeks or more","All","Yes","2014"
"Beacon Falls",900903250,"All","37 weeks or more","First Trimester","All","2014"
"Beacon Falls",900903250,"All","37 weeks or more","None","All",NA
"Beacon Falls",900903250,"All","37 weeks or more","Second Trimester","All","2014"
"Beacon Falls",900903250,"All","37 weeks or more","Third Trimester","All","2012-2014"
"Beacon Falls",900903250,"All","37 weeks or more","Unknown","All","2012-2014"
"Beacon Falls",900903250,"All","All","All","All","2014"
"Beacon Falls",900903250,"All","All","All","No","2014"
"Beacon Falls",900903250,"All","All","All","Unknown",NA
"Beacon Falls",900903250,"All","All","All","Yes","2014"
"Beacon Falls",900903250,"All","All","First Trimester","All","2014"
"Beacon Falls",900903250,"All","All","None","All",NA
"Beacon Falls",900903250,"All","All","Second Trimester","All","2014"
"Beacon Falls",900903250,"All","All","Third Trimester","All","2012-2014"
"Beacon Falls",900903250,"All","All","Unknown","All","2012-2014"
"Beacon Falls",900903250,"All","Gestational age unknown","All","All",NA
"Beacon Falls",900903250,"All","Gestational age unknown","All","No",NA
"Beacon Falls",900903250,"All","Gestational age unknown","All","Unknown",NA
"Beacon Falls",900903250,"All","Gestational age unknown","All","Yes",NA
"Beacon Falls",900903250,"All","Gestational age unknown","First Trimester","All",NA
"Beacon Falls",900903250,"All","Gestational age unknown","None","All",NA
"Beacon Falls",900903250,"All","Gestational age unknown","Second Trimester","All",NA
"Beacon Falls",900903250,"All","Gestational age unknown","Third Trimester","All",NA
"Beacon Falls",900903250,"All","Gestational age unknown","Unknown","All",NA
"Beacon Falls",900903250,"All","Less than 37 weeks","All","All","2014"
"Beacon Falls",900903250,"All","Less than 37 weeks","All","No","2014"
"Beacon Falls",900903250,"All","Less than 37 weeks","All","Unknown",NA
"Beacon Falls",900903250,"All","Less than 37 weeks","All","Yes","2014"
"Beacon Falls",900903250,"All","Less than 37 weeks","First Trimester","All","2014"
"Beacon Falls",900903250,"All","Less than 37 weeks","None","All",NA
"Beacon Falls",900903250,"All","Less than 37 weeks","Second Trimester","All","2014"
"Beacon Falls",900903250,"All","Less than 37 weeks","Third Trimester","All",NA
"Beacon Falls",900903250,"All","Less than 37 weeks","Unknown","All",NA
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","None","All",NA
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All",NA
"Beacon Falls",900903250,"Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2012-2014"
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Beacon Falls",900903250,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Berlin",900304300,"All","37 weeks or more","All","All","2014"
"Berlin",900304300,"All","37 weeks or more","All","No","2014"
"Berlin",900304300,"All","37 weeks or more","All","Unknown","2010-2014"
"Berlin",900304300,"All","37 weeks or more","All","Yes","2014"
"Berlin",900304300,"All","37 weeks or more","First Trimester","All","2014"
"Berlin",900304300,"All","37 weeks or more","None","All","2014"
"Berlin",900304300,"All","37 weeks or more","Second Trimester","All","2014"
"Berlin",900304300,"All","37 weeks or more","Third Trimester","All","2012-2014"
"Berlin",900304300,"All","37 weeks or more","Unknown","All","2012-2014"
"Berlin",900304300,"All","All","All","All","2014"
"Berlin",900304300,"All","All","All","No","2014"
"Berlin",900304300,"All","All","All","Unknown","2010-2014"
"Berlin",900304300,"All","All","All","Yes","2014"
"Berlin",900304300,"All","All","First Trimester","All","2014"
"Berlin",900304300,"All","All","None","All","2014"
"Berlin",900304300,"All","All","Second Trimester","All","2014"
"Berlin",900304300,"All","All","Third Trimester","All","2014"
"Berlin",900304300,"All","All","Unknown","All","2012-2014"
"Berlin",900304300,"All","Gestational age unknown","All","All","2014"
"Berlin",900304300,"All","Gestational age unknown","All","No","2014"
"Berlin",900304300,"All","Gestational age unknown","All","Unknown",NA
"Berlin",900304300,"All","Gestational age unknown","All","Yes","2014"
"Berlin",900304300,"All","Gestational age unknown","First Trimester","All","2014"
"Berlin",900304300,"All","Gestational age unknown","None","All","2014"
"Berlin",900304300,"All","Gestational age unknown","Second Trimester","All",NA
"Berlin",900304300,"All","Gestational age unknown","Third Trimester","All",NA
"Berlin",900304300,"All","Gestational age unknown","Unknown","All",NA
"Berlin",900304300,"All","Less than 37 weeks","All","All","2014"
"Berlin",900304300,"All","Less than 37 weeks","All","No","2014"
"Berlin",900304300,"All","Less than 37 weeks","All","Unknown",NA
"Berlin",900304300,"All","Less than 37 weeks","All","Yes","2014"
"Berlin",900304300,"All","Less than 37 weeks","First Trimester","All","2014"
"Berlin",900304300,"All","Less than 37 weeks","None","All","2014"
"Berlin",900304300,"All","Less than 37 weeks","Second Trimester","All","2012-2014"
"Berlin",900304300,"All","Less than 37 weeks","Third Trimester","All","2014"
"Berlin",900304300,"All","Less than 37 weeks","Unknown","All","2012-2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","All","No","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","All","Unknown","2010-2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","All","Yes","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","First Trimester","All","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","None","All","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","Second Trimester","All","2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","Third Trimester","All","2012-2014"
"Berlin",900304300,"Low Birth Weight (under 2500 grams)","All","Unknown","All","2012-2014"
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","All","No","2014"
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","All","Yes",NA
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","First Trimester","All","2014"
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","None","All",NA
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","Second Trimester","All","2010-2014"
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","Third Trimester","All",NA
"Berlin",900304300,"Very Low Birth Weight (under 1500 grams)","All","Unknown","All","2012-2014"
"Bethany",900904580,"All","37 weeks or more","All","All","2014"
"Bethany",900904580,"All","37 weeks or more","All","No","2014"
"Bethany",900904580,"All","37 weeks or more","All","Unknown",NA
"Bethany",900904580,"All","37 weeks or more","All","Yes","2012-2014"
"Bethany",900904580,"All","37 weeks or more","First Trimester","All","2014"
"Bethany",900904580,"All","37 weeks or more","None","All","2010-2014"
"Bethany",900904580,"All","37 weeks or more","Second Trimester","All","2014"
"Bethany",900904580,"All","37 weeks or more","Third Trimester","All",NA
"Bethany",900904580,"All","37 weeks or more","Unknown","All","2012-2014"
"Bethany",900904580,"All","All","All","All","2014"
"Bethany",900904580,"All","All","All","No","2014"
"Bethany",900904580,"All","All","All","Unknown",NA
"Bethany",900904580,"All","All","All","Yes","2012-2014"
"Bethany",900904580,"All","All","First Trimester","All","2014"
