"Town","Birth.Weight","Gestational.Age","Mother.s.Education","Mother.s.Marital.Status","Earliest.Data.Available"
"Ashford","All","All","All","Unmarried","2014"
"Ashford","All","All","College (13-16 yrs)","All","2014"
"Ashford","All","All","High School (12 yrs or GED)","All","2014"
"Ashford","All","All","Less than 12 years","All","2014"
"Ashford","All","All","Post-College (17 or more yrs)","All","2014"
"Ashford","All","All","Unknown","All","2010-2014"
"Ashford","All","Gestational age unknown","All","All","2012-2014"
"Ashford","All","Gestational age unknown","All","Married","2010-2014"
"Ashford","All","Gestational age unknown","All","Unknown",NA
"Ashford","All","Gestational age unknown","All","Unmarried","2012-2014"
"Ashford","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Ashford","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Ashford","All","Gestational age unknown","Less than 12 years","All","2012-2014"
"Ashford","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Ashford","All","Gestational age unknown","Unknown","All","2010-2014"
"Ashford","All","Less than 37 weeks","All","All","2014"
"Ashford","All","Less than 37 weeks","All","Married","2014"
"Ashford","All","Less than 37 weeks","All","Unknown",NA
"Ashford","All","Less than 37 weeks","All","Unmarried","2014"
"Ashford","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Ashford","All","Less than 37 weeks","High School (12 yrs or GED)","All","2012-2014"
"Ashford","All","Less than 37 weeks","Less than 12 years","All","2012-2014"
"Ashford","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2012-2014"
"Ashford","All","Less than 37 weeks","Unknown","All","2010-2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Ashford","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All","2012-2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All","2010-2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All","2012-2014"
"Ashford","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Married",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2014"
"Ashford","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All",NA
"Ashford","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Avon","All","37 weeks or more","All","All","2014"
"Avon","All","37 weeks or more","All","Married","2014"
"Avon","All","37 weeks or more","All","Unknown",NA
"Avon","All","37 weeks or more","All","Unmarried","2014"
"Avon","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Avon","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Avon","All","37 weeks or more","Less than 12 years","All","2012-2014"
"Avon","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Avon","All","37 weeks or more","Unknown","All","2014"
"Avon","All","All","All","All","2014"
"Avon","All","All","All","Married","2014"
"Avon","All","All","All","Unknown",NA
"Avon","All","All","All","Unmarried","2014"
"Avon","All","All","College (13-16 yrs)","All","2014"
"Avon","All","All","High School (12 yrs or GED)","All","2014"
"Avon","All","All","Less than 12 years","All","2012-2014"
"Avon","All","All","Post-College (17 or more yrs)","All","2014"
"Avon","All","All","Unknown","All","2014"
"Avon","All","Gestational age unknown","All","All",NA
"Avon","All","Gestational age unknown","All","Married",NA
"Avon","All","Gestational age unknown","All","Unknown",NA
"Avon","All","Gestational age unknown","All","Unmarried",NA
"Avon","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Avon","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Avon","All","Gestational age unknown","Less than 12 years","All",NA
"Avon","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Avon","All","Gestational age unknown","Unknown","All",NA
"Avon","All","Less than 37 weeks","All","All","2014"
"Avon","All","Less than 37 weeks","All","Married","2014"
"Avon","All","Less than 37 weeks","All","Unknown",NA
"Avon","All","Less than 37 weeks","All","Unmarried","2014"
"Avon","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Avon","All","Less than 37 weeks","High School (12 yrs or GED)","All","2014"
"Avon","All","Less than 37 weeks","Less than 12 years","All",NA
"Avon","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2014"
"Avon","All","Less than 37 weeks","Unknown","All","2012-2014"
"Avon","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Avon","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Avon","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Avon","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2014"
"Avon","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Avon","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All","2010-2014"
"Avon","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All",NA
"Avon","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All","2014"
"Avon","Low Birth Weight (under 2500 grams)","All","Unknown","All","2012-2014"
"Avon","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Avon","Very Low Birth Weight (under 1500 grams)","All","All","Married","2014"
"Avon","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Avon","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried",NA
"Avon","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2014"
"Avon","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All",NA
"Avon","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Avon","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All","2012-2014"
"Avon","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Barkhamsted","All","37 weeks or more","All","All","2014"
"Barkhamsted","All","37 weeks or more","All","Married","2014"
"Barkhamsted","All","37 weeks or more","All","Unknown",NA
"Barkhamsted","All","37 weeks or more","All","Unmarried","2014"
"Barkhamsted","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Barkhamsted","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Barkhamsted","All","37 weeks or more","Less than 12 years","All","2014"
"Barkhamsted","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Barkhamsted","All","37 weeks or more","Unknown","All",NA
"Barkhamsted","All","All","All","All","2014"
"Barkhamsted","All","All","All","Married","2014"
"Barkhamsted","All","All","All","Unknown",NA
"Barkhamsted","All","All","All","Unmarried","2014"
"Barkhamsted","All","All","College (13-16 yrs)","All","2014"
"Barkhamsted","All","All","High School (12 yrs or GED)","All","2014"
"Barkhamsted","All","All","Less than 12 years","All","2014"
"Barkhamsted","All","All","Post-College (17 or more yrs)","All","2014"
"Barkhamsted","All","All","Unknown","All",NA
"Barkhamsted","All","Gestational age unknown","All","All","2012-2014"
"Barkhamsted","All","Gestational age unknown","All","Married","2012-2014"
"Barkhamsted","All","Gestational age unknown","All","Unknown",NA
"Barkhamsted","All","Gestational age unknown","All","Unmarried",NA
"Barkhamsted","All","Gestational age unknown","College (13-16 yrs)","All","2012-2014"
"Barkhamsted","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Barkhamsted","All","Gestational age unknown","Less than 12 years","All",NA
"Barkhamsted","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Barkhamsted","All","Gestational age unknown","Unknown","All",NA
"Barkhamsted","All","Less than 37 weeks","All","All","2010-2014"
"Barkhamsted","All","Less than 37 weeks","All","Married","2010-2014"
"Barkhamsted","All","Less than 37 weeks","All","Unknown",NA
"Barkhamsted","All","Less than 37 weeks","All","Unmarried","2010-2014"
"Barkhamsted","All","Less than 37 weeks","College (13-16 yrs)","All","2010-2014"
"Barkhamsted","All","Less than 37 weeks","High School (12 yrs or GED)","All",NA
"Barkhamsted","All","Less than 37 weeks","Less than 12 years","All",NA
"Barkhamsted","All","Less than 37 weeks","Post-College (17 or more yrs)","All",NA
"Barkhamsted","All","Less than 37 weeks","Unknown","All",NA
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","All","All","2010-2014"
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","All","Married","2010-2014"
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2010-2014"
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2010-2014"
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All",NA
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All",NA
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All",NA
"Barkhamsted","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","All","All","2010-2014"
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","All","Married","2010-2014"
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2010-2014"
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All",NA
"Barkhamsted","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Beacon Falls","All","37 weeks or more","All","All","2014"
"Beacon Falls","All","37 weeks or more","All","Married","2014"
"Beacon Falls","All","37 weeks or more","All","Unknown",NA
"Beacon Falls","All","37 weeks or more","All","Unmarried","2014"
"Beacon Falls","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Beacon Falls","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Beacon Falls","All","37 weeks or more","Less than 12 years","All","2014"
"Beacon Falls","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Beacon Falls","All","37 weeks or more","Unknown","All",NA
"Beacon Falls","All","All","All","All","2014"
"Beacon Falls","All","All","All","Married","2014"
"Beacon Falls","All","All","All","Unknown",NA
"Beacon Falls","All","All","All","Unmarried","2014"
"Beacon Falls","All","All","College (13-16 yrs)","All","2014"
"Beacon Falls","All","All","High School (12 yrs or GED)","All","2014"
"Beacon Falls","All","All","Less than 12 years","All","2014"
"Beacon Falls","All","All","Post-College (17 or more yrs)","All","2014"
"Beacon Falls","All","All","Unknown","All",NA
"Beacon Falls","All","Gestational age unknown","All","All",NA
"Beacon Falls","All","Gestational age unknown","All","Married",NA
"Beacon Falls","All","Gestational age unknown","All","Unknown",NA
"Beacon Falls","All","Gestational age unknown","All","Unmarried",NA
"Beacon Falls","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Beacon Falls","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Beacon Falls","All","Gestational age unknown","Less than 12 years","All",NA
"Beacon Falls","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Beacon Falls","All","Gestational age unknown","Unknown","All",NA
"Beacon Falls","All","Less than 37 weeks","All","All","2014"
"Beacon Falls","All","Less than 37 weeks","All","Married","2014"
"Beacon Falls","All","Less than 37 weeks","All","Unknown",NA
"Beacon Falls","All","Less than 37 weeks","All","Unmarried","2014"
"Beacon Falls","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Beacon Falls","All","Less than 37 weeks","High School (12 yrs or GED)","All","2010-2014"
"Beacon Falls","All","Less than 37 weeks","Less than 12 years","All","2012-2014"
"Beacon Falls","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2014"
"Beacon Falls","All","Less than 37 weeks","Unknown","All",NA
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All","2010-2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All","2012-2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All","2014"
"Beacon Falls","Low Birth Weight (under 2500 grams)","All","Unknown","All",NA
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","All","Married","2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried","2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All","2010-2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All","2014"
"Beacon Falls","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Berlin","All","37 weeks or more","All","All","2014"
"Berlin","All","37 weeks or more","All","Married","2014"
"Berlin","All","37 weeks or more","All","Unknown",NA
"Berlin","All","37 weeks or more","All","Unmarried","2014"
"Berlin","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Berlin","All","37 weeks or more","High School (12 yrs or GED)","All","2014"
"Berlin","All","37 weeks or more","Less than 12 years","All","2014"
"Berlin","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Berlin","All","37 weeks or more","Unknown","All","2010-2014"
"Berlin","All","All","All","All","2014"
"Berlin","All","All","All","Married","2014"
"Berlin","All","All","All","Unknown",NA
"Berlin","All","All","All","Unmarried","2014"
"Berlin","All","All","College (13-16 yrs)","All","2014"
"Berlin","All","All","High School (12 yrs or GED)","All","2014"
"Berlin","All","All","Less than 12 years","All","2014"
"Berlin","All","All","Post-College (17 or more yrs)","All","2014"
"Berlin","All","All","Unknown","All","2012-2014"
"Berlin","All","Gestational age unknown","All","All","2014"
"Berlin","All","Gestational age unknown","All","Married",NA
"Berlin","All","Gestational age unknown","All","Unknown",NA
"Berlin","All","Gestational age unknown","All","Unmarried","2014"
"Berlin","All","Gestational age unknown","College (13-16 yrs)","All","2014"
"Berlin","All","Gestational age unknown","High School (12 yrs or GED)","All","2014"
"Berlin","All","Gestational age unknown","Less than 12 years","All",NA
"Berlin","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Berlin","All","Gestational age unknown","Unknown","All","2012-2014"
"Berlin","All","Less than 37 weeks","All","All","2014"
"Berlin","All","Less than 37 weeks","All","Married","2014"
"Berlin","All","Less than 37 weeks","All","Unknown",NA
"Berlin","All","Less than 37 weeks","All","Unmarried","2014"
"Berlin","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Berlin","All","Less than 37 weeks","High School (12 yrs or GED)","All","2012-2014"
"Berlin","All","Less than 37 weeks","Less than 12 years","All","2014"
"Berlin","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2014"
"Berlin","All","Less than 37 weeks","Unknown","All",NA
"Berlin","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Berlin","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","High School (12 yrs or GED)","All","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","Less than 12 years","All","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","Post-College (17 or more yrs)","All","2014"
"Berlin","Low Birth Weight (under 2500 grams)","All","Unknown","All","2010-2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","All","All","2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","All","Married","2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","All","Unknown",NA
"Berlin","Very Low Birth Weight (under 1500 grams)","All","All","Unmarried",NA
"Berlin","Very Low Birth Weight (under 1500 grams)","All","College (13-16 yrs)","All","2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","High School (12 yrs or GED)","All","2010-2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","Less than 12 years","All",NA
"Berlin","Very Low Birth Weight (under 1500 grams)","All","Post-College (17 or more yrs)","All","2012-2014"
"Berlin","Very Low Birth Weight (under 1500 grams)","All","Unknown","All",NA
"Bethany","All","37 weeks or more","All","All","2014"
"Bethany","All","37 weeks or more","All","Married","2014"
"Bethany","All","37 weeks or more","All","Unknown",NA
"Bethany","All","37 weeks or more","All","Unmarried","2014"
"Bethany","All","37 weeks or more","College (13-16 yrs)","All","2014"
"Bethany","All","37 weeks or more","High School (12 yrs or GED)","All","2012-2014"
"Bethany","All","37 weeks or more","Less than 12 years","All","2010-2014"
"Bethany","All","37 weeks or more","Post-College (17 or more yrs)","All","2014"
"Bethany","All","37 weeks or more","Unknown","All",NA
"Bethany","All","All","All","All","2014"
"Bethany","All","All","All","Married","2014"
"Bethany","All","All","All","Unknown",NA
"Bethany","All","All","All","Unmarried","2014"
"Bethany","All","All","College (13-16 yrs)","All","2014"
"Bethany","All","All","High School (12 yrs or GED)","All","2012-2014"
"Bethany","All","All","Less than 12 years","All","2010-2014"
"Bethany","All","All","Post-College (17 or more yrs)","All","2014"
"Bethany","All","All","Unknown","All",NA
"Bethany","All","Gestational age unknown","All","All",NA
"Bethany","All","Gestational age unknown","All","Married",NA
"Bethany","All","Gestational age unknown","All","Unknown",NA
"Bethany","All","Gestational age unknown","All","Unmarried",NA
"Bethany","All","Gestational age unknown","College (13-16 yrs)","All",NA
"Bethany","All","Gestational age unknown","High School (12 yrs or GED)","All",NA
"Bethany","All","Gestational age unknown","Less than 12 years","All",NA
"Bethany","All","Gestational age unknown","Post-College (17 or more yrs)","All",NA
"Bethany","All","Gestational age unknown","Unknown","All",NA
"Bethany","All","Less than 37 weeks","All","All","2014"
"Bethany","All","Less than 37 weeks","All","Married","2014"
"Bethany","All","Less than 37 weeks","All","Unknown",NA
"Bethany","All","Less than 37 weeks","All","Unmarried","2012-2014"
"Bethany","All","Less than 37 weeks","College (13-16 yrs)","All","2014"
"Bethany","All","Less than 37 weeks","High School (12 yrs or GED)","All","2012-2014"
"Bethany","All","Less than 37 weeks","Less than 12 years","All",NA
"Bethany","All","Less than 37 weeks","Post-College (17 or more yrs)","All","2014"
"Bethany","All","Less than 37 weeks","Unknown","All",NA
"Bethany","Low Birth Weight (under 2500 grams)","All","All","All","2014"
"Bethany","Low Birth Weight (under 2500 grams)","All","All","Married","2014"
"Bethany","Low Birth Weight (under 2500 grams)","All","All","Unknown",NA
"Bethany","Low Birth Weight (under 2500 grams)","All","All","Unmarried","2010-2014"
"Bethany","Low Birth Weight (under 2500 grams)","All","College (13-16 yrs)","All","2014"
